"id_direccion";"alias";"id_renabap";"manzana_renabap";"terreno_renabap";"latitud";"longitud";"calle_declarada";"altura_declarada";"esquina_declarada";"direccion_en_cvf";"es_ubicable";"direccion_normalizada";"calle";"altura";"piso";"depto";"manzana";"sector";"torre";"cp";"parcela";"lote";"entre_calle_1";"entre_calle_2";"calle_esquina";"casa";"terreno";"pasillo";"pasaje";"referencia_auxiliar";"observaciones";"tira";"chacra";"macizo";"seccion";"ruta";"km";"id_revision_dir"
1344078;"FF2_2403516";1786;"20";"38";-60.6994696;-32.9077637;"CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1391009;"FF2_2450654";1786;"32";"5";-60.7058818;-32.9132226;"GARZON 1298 BIS";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1315939;"FF2_2375269";1786;"46";"1";-60.7026316;-32.9107501;"CABAL";"2588";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PASILLO";"";"";"";"";"";"";"";"";"";""
681813;"FF2_590892";1786;"47";"51";-32.91089024;-60.70243452;"Cabal Y Empalme";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1315992;"FF2_2375322";1786;"26";"16";-60.70239182;-32.91112573;"CABAL Y SAN JOSE";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1472988;"FF2_2539533";1786;"15";"19";-60.70323961;-32.91194724;"CABAL 1400";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1472655;"FF2_2539191";1786;"10";"11";-60.7046986;-32.9123309;"OLAVARRIA 1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1321191;"FF2_2380538";1786;"25";"1";-60.7029302;-32.9119605;"MARIANO CABAL";"1312 BIS";"";"Dirección declarada sin informar";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1347403;"FF2_2406851";1786;"17";"30";-60.70377658;-32.91022042;"";"1600BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CEFERINO NAMUNCURÁ";"";"";"";"";"";"";"";"";""
1353397;"FF2_2412879";1786;"7";"39";-60.706292;-32.9102378;"GARZÓN";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
