Id_Instit;Cue;Id_Plan;Nombre;Anio;Anio_Estudio;Anios_Estructura;Varon;Mujer;Total;Oferta
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;1º;2017;4;49;41;90;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;2º;2017;4;15;8;23;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;3º;2017;4;13;8;21;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;4º;2017;4;12;8;20;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;1º;2015;4;90;0;90;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;2º;2015;4;23;0;23;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;3º;2015;4;22;0;22;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;4º;2015;4;22;0;22;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;1º;2013;4;0;0;0;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;2º;2013;4;29;0;29;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;3º;2013;4;26;0;26;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;4º;2013;4;22;0;22;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;1º;2017;4;49;41;90;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;2º;2017;4;14;8;22;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;3º;2017;4;14;8;22;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;4º;2017;4;11;11;22;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;1º;2019;4;14;10;24;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;2º;2019;4;15;6;21;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;3º;2019;4;14;7;21;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;1º;2021;4;14;5;19;Superior Técnico;
